ms,time,rpm,advance_deg,map_kpa,temp_c,volt_v,coil_a,rx
170868,BOOT+170869,1950,26.0,100,0,11.7,0.0,7
171477,BOOT+171477,1550,19.2,100,47,11.7,0.0,13
172085,BOOT+172085,1200,14.6,100,47,11.7,2.8,17
172590,BOOT+172590,850,12.8,100,47,12.3,2.8,22
173194,BOOT+173194,850,12.2,100,47,12.3,2.8,25
173802,BOOT+173802,900,12.2,100,47,12.3,2.8,30
174311,BOOT+174311,900,11.6,100,47,12.3,2.8,33
174917,BOOT+174917,900,12.8,100,47,12.3,2.9,38
175521,BOOT+175521,900,13.4,100,47,12.6,2.9,42
176105,BOOT+176105,950,13.4,100,47,12.6,2.9,46
176703,BOOT+176703,950,12.8,100,47,12.6,2.9,50
177305,BOOT+177305,900,12.8,100,47,12.6,2.9,54
177911,BOOT+177911,900,12.8,100,47,12.6,2.9,59
178517,BOOT+178517,900,12.2,100,47,12.6,2.9,63
179117,BOOT+179117,900,12.2,100,47,12.6,2.9,66
179705,BOOT+179705,900,12.2,100,47,12.6,2.9,71
180306,BOOT+180306,850,12.2,100,47,12.6,2.9,75
180880,BOOT+180880,950,13.4,100,47,12.6,2.9,79
181494,BOOT+181494,900,12.2,100,47,12.8,2.9,83
182069,BOOT+182069,900,12.2,100,47,12.8,2.9,88
182646,BOOT+182647,850,12.8,100,47,12.8,2.9,91
183206,BOOT+183206,900,12.8,100,47,12.8,2.9,95
183788,BOOT+183788,850,12.2,100,47,12.8,2.8,99
184364,BOOT+184364,900,15.2,100,47,12.8,2.8,103
184925,BOOT+184925,2200,30.0,100,47,12.8,2.8,114
185500,BOOT+185500,2650,29.6,100,47,13.0,2.9,125
186070,BOOT+186070,1450,23.0,100,47,13.0,2.9,134
186644,BOOT+186644,1200,15.2,100,47,13.0,3.1,139
187217,BOOT+187217,1050,14.0,100,47,13.7,3.1,144
187790,BOOT+187790,950,12.8,100,47,13.7,3.1,148
188364,BOOT+188364,1000,12.8,100,47,13.7,3.1,151
188938,BOOT+188938,1000,13.4,100,47,13.7,3.1,157
189513,BOOT+189513,950,12.8,100,47,13.7,3.1,161
190015,BOOT+190015,950,12.8,100,47,13.7,3.1,164
190596,BOOT+190596,950,13.4,100,47,13.7,3.1,169
191170,BOOT+191170,1000,13.4,100,47,13.7,3.1,173
191693,BOOT+191693,950,13.4,100,47,13.7,3.0,178
192271,BOOT+192271,1000,12.8,100,47,13.7,3.0,182
192840,BOOT+192840,1000,13.4,100,47,13.7,3.0,186
193382,BOOT+193382,950,13.4,100,48,13.7,3.0,191
193988,BOOT+193988,1000,13.4,100,48,13.7,3.0,195
194597,BOOT+194597,1000,13.4,100,48,13.7,3.1,198
195186,BOOT+195186,1000,13.4,100,48,13.9,3.1,205
195791,BOOT+195791,950,13.4,100,48,13.9,3.1,209
196509,BOOT+196509,950,13.4,100,48,13.9,3.1,215
197110,BOOT+197110,950,13.4,100,48,13.9,3.1,217
197714,BOOT+197714,1000,14.0,100,48,13.9,3.1,224
198309,BOOT+198309,1000,13.4,100,48,13.9,3.1,229
198917,BOOT+198917,1000,12.8,100,48,13.9,3.1,234
199523,BOOT+199523,1000,14.0,100,48,13.9,3.1,239
200029,BOOT+200029,1000,13.4,100,48,13.9,3.1,243
200635,BOOT+200635,1050,13.4,100,48,13.9,3.1,246
201252,BOOT+201252,1900,27.4,100,48,13.7,3.1,262
201829,BOOT+201829,3200,30.0,100,48,13.7,3.1,276
202435,BOOT+202435,2050,26.8,100,48,13.7,3.1,288
203039,BOOT+203039,1450,18.6,100,48,13.7,3.1,295
203589,BOOT+203589,1200,16.0,100,48,13.9,3.1,301
204197,BOOT+204197,1050,14.6,100,48,13.9,3.1,305
204799,BOOT+204799,1100,14.6,100,48,13.9,3.1,311
205388,BOOT+205388,1100,14.0,100,48,13.9,3.1,316
205990,BOOT+205990,1050,14.0,100,48,13.9,3.1,321
206790,BOOT+206790,1050,14.0,100,48,13.9,3.1,327
207397,BOOT+207397,1050,14.0,84,48,13.9,3.1,333
208005,BOOT+208005,3550,35.6,59,48,13.7,3.1,349
208548,BOOT+208548,3550,30.0,100,48,13.7,2.9,364
209159,BOOT+209159,2050,28.8,100,48,13.7,3.1,378
209769,BOOT+209769,1450,22.0,100,48,13.9,3.1,386
210385,BOOT+210385,1250,16.6,100,48,13.9,3.1,393
210981,BOOT+210981,1150,14.6,100,48,13.9,3.1,397
211577,BOOT+211577,1100,15.2,100,48,14.1,3.1,403
212109,BOOT+212109,1050,14.6,100,48,14.1,3.1,407
212707,BOOT+212707,1100,14.6,100,48,14.1,3.1,413
213307,BOOT+213307,1050,14.6,100,48,14.1,3.1,417
213822,BOOT+213822,1150,15.2,100,48,14.1,3.1,422
214415,BOOT+214415,1100,14.6,100,48,14.1,3.1,427
215013,BOOT+215013,1100,14.6,100,48,14.1,3.1,431
215584,BOOT+215584,1100,14.6,100,48,14.1,3.4,437
216185,BOOT+216185,1100,15.2,100,48,14.1,3.4,443
216782,BOOT+216782,1100,15.2,100,48,14.1,3.4,447
217344,BOOT+217344,1150,15.2,100,48,14.1,3.4,453
217945,BOOT+217945,1050,14.6,100,48,14.1,3.4,458
218542,BOOT+218542,1100,14.6,100,48,14.1,3.4,463
219105,BOOT+219105,1100,14.6,100,48,14.1,3.4,468
219704,BOOT+219704,1100,15.2,100,48,14.1,3.4,473
220303,BOOT+220303,1050,14.6,100,48,14.1,3.1,478
220900,BOOT+220900,1050,14.6,100,48,14.1,3.1,483
