ms;zeit;epoch;rpm;zuendung_grad;map_kpa;temp_c;spannung_v;spule_a;rx
54261;2026-05-22 16:40:58;1779460858;1000;0,0;100;0;12,6;0,0;3
54831;2026-05-22 16:40:59;1779460859;1000;13,4;100;0;12,6;0,0;8
55411;2026-05-22 16:40:59;1779460859;1000;13,4;100;52;12,6;0,0;12
55974;2026-05-22 16:41:00;1779460860;1000;13,4;100;52;12,6;0,0;16
56554;2026-05-22 16:41:00;1779460860;950;12,8;100;52;12,6;2,8;21
57145;2026-05-22 16:41:01;1779460861;950;12,8;100;52;12,8;2,8;25
57688;2026-05-22 16:41:01;1779460861;1000;12,8;100;52;12,8;2,8;29
58276;2026-05-22 16:41:02;1779460862;1000;12,8;100;52;12,8;2,8;33
58856;2026-05-22 16:41:03;1779460863;1000;12,8;100;52;12,8;2,8;36
59457;2026-05-22 16:41:03;1779460863;1000;13,4;100;52;13,0;2,9;42
60036;2026-05-22 16:41:04;1779460864;950;12,2;100;52;13,0;2,9;47
60626;2026-05-22 16:41:04;1779460864;1000;12,8;100;52;13,0;2,9;51
61212;2026-05-22 16:41:05;1779460865;950;12,2;100;52;13,0;2,9;55
61783;2026-05-22 16:41:06;1779460866;950;12,8;100;52;13,0;3,1;60
62370;2026-05-22 16:41:06;1779460866;950;13,4;100;52;13,7;3,1;64
62922;2026-05-22 16:41:07;1779460867;950;13,4;100;52;13,7;3,1;68
63505;2026-05-22 16:41:07;1779460867;950;12,8;100;52;13,7;3,1;72
64093;2026-05-22 16:41:08;1779460868;950;13,4;100;52;13,7;3,1;77
64690;2026-05-22 16:41:08;1779460868;1050;13,4;100;52;13,7;3,1;81
65264;2026-05-22 16:41:09;1779460869;1000;13,4;100;52;13,9;3,1;86
65849;2026-05-22 16:41:10;1779460870;1000;13,4;100;52;13,9;3,1;90
66452;2026-05-22 16:41:10;1779460870;1000;12,8;100;52;13,9;3,1;94
67029;2026-05-22 16:41:11;1779460871;800;9,8;75;52;13,9;2,9;98
67608;2026-05-22 16:41:11;1779460871;1700;24,8;76;52;13,7;2,9;106
